Name,Address,Location,Price,Cuisine,Longitude,Latitude,Url,Award,Description,Years,Current
Bridge Street Prawn Noodle,"533 Lebuh Pantai, George Town, 10300, Malaysia","George Town, Malaysia",$,Noodles,100.33906,5.41509,https://guide.michelin.com/en/pulau-pinang/my-george-town/restaurant/bridge-street-prawn-noodle,Bib Gourmand,,2022,0
Bridge Street Prawn Noodle,,,,,100.333995,5.4117853,,,,2023–2026,1
Duck Blood Curry Mee,"223B Jalan Burma, George Town, 10050, Malaysia","George Town, Malaysia",$,Noodles,100.3273692,5.4191353,https://guide.michelin.com/en/pulau-pinang/my-george-town/restaurant/duck-blood-curry-mee,Bib Gourmand,,2022,0
Duck Blood Curry Mee,,,,,100.3209241,5.423869,,,,2023–2026,1
Moh Teng Pheow Nyonya Koay,,,,,100.3353623,5.4193028,,,,2022–2026,1
Ivy's Nyonya Cuisine,"58 Jalan Chow Thye, George Town, 10050, Malaysia","George Town, Malaysia",$$,Peranakan,100.3208021,5.4251958,https://guide.michelin.com/en/pulau-pinang/my-george-town/restaurant/ivy-s-nyonya-cuisine,Bib Gourmand,"This simple restaurant has been run by a married couple for over 15 years; Ivy helms the kitchen while her husband waits the tables. Besides à la carte, consider ordering from the sharing set menus th",2022–2023,0
Ivy's Nyonya Cuisine,,,,,100.3276506,5.419764,,,,2024–2026,1
Theeni Pandarams,"82A Lebuh Penang, George Town, 10200, Malaysia","George Town, Malaysia",$,Indian,100.3402131,5.417368,https://guide.michelin.com/en/pulau-pinang/my-george-town/restaurant/theeni-pandarams,Bib Gourmand,In a heritage circa 1940s building stands this tiny gem selling biriyani on banana leaf. This space used to be a Chinese clinic and that slice of history is vividly retained in the décor. The name mea,"2022–2023, 2025",0
Wan Dao Tou Assam Laksa,,,,,100.3031369,5.4336771,,,,2022–2026,1
De. Wan 1958,"Level 2-2, The LINC KL, 360 Jalan Tun Razak, Taman U Thant, Kuala Lumpur, 50400, Malaysia","Kuala Lumpur, Malaysia",$$$,Malaysian,101.7208803,3.1595059,https://guide.michelin.com/en/kuala-lumpur-region/kuala-lumpur/restaurant/de-wan-1958,Bib Gourmand,"Sunny and cheerful like the local celebrity Chef Wan, the room is inviting and bustling. Similarly, the food is guaranteed to lift your spirits with big tropical flavours. Whet your appetite with pome",2022–2024,0
Congkak (Bukit Bintang),,,,,101.7101568,3.1479298,,,,2022–2026,1
Nam Heong Chicken Rice,"56 Jalan Sultan, Kuala Lumpur City Centre, Kuala Lumpur, 50000, Malaysia","Kuala Lumpur, Malaysia",$,Malaysian,101.6985081,3.1436885,https://guide.michelin.com/en/kuala-lumpur-region/kuala-lumpur/restaurant/nam-heong-chicken-rice,Bib Gourmand,"Since 1938, this household name has been hugely popular among locals for its famous Hainanese chicken rice. Now, it has three branches in Malaysia. Two kinds of chicken are offered – the pricier “vegg",2022–2024,0
Sardaarji,,,,,100.341149,5.4170929,,,,2022–2026,1
